DateComtd,DayComtd,TimeComtd,Barangay,X,Y,CrimeType,CrimeCategory,Classification,CaseStat,Solved,Cleared,"Place of Occurrence"
15/01/2020,Wednesday,19:40:00,Candau-ay,123.270683,9.312092,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
16/01/2020,Thursday,13:30:00,"Poblacion No. 3 (Barangay 3)",123.305908,9.307113,"NON-INDEX CRIME",OTHERNONINDEX,Estafa,"Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Resort/Hotel/Motel/Inn"
17/01/2020,Friday,10:30:00,Bantayan,123.297821,9.32613,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
18/01/2020,Saturday,9:50:00,Looc,123.312279,9.317237,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
18/01/2020,Saturday,10:00:00,Pulantubig,123.291229,9.325638,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Office "
18/01/2020,Saturday,21:15:00,Bagacay,123.29306,9.299768,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
18/01/2020,Saturday,13:20:00,Candau-ay,123.264618,9.313902,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
19/01/2020,Sunday,10:00:00,Cadawinonan,123.271935,9.303008,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
19/01/2020,Sunday,3:15:00,Piapi,123.312546,9.320392,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
19/01/2020,Sunday,17:10:00,Daro,123.296875,9.318201,"NON-INDEX CRIME",SPECIALLAWS,"COCKFIGHTING LAW OF 1974 - PD 449","Filed in Pros / Court",Yes,Yes,"Unihabited Place"
20/01/2020,Monday,21:30:00,Calindagan,123.308479,9.299752,"NON-INDEX CRIME",SPECIALLAWS,"PD 1602 / RA 9287  (GAMBLING)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
20/01/2020,Monday,21:11:00,"Poblacion No. 2 (Barangay 2)",123.308479,9.302923,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
20/01/2020,Monday,21:00:00,Calindagan,123.307487,9.298026,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",No,Yes,"(Inside Residences) - Public Residential Area"
21/01/2020,Tuesday,1:00:00,Looc,123.311485,9.317023,"NON-INDEX CRIME",SPECIALLAWS,"PD 1602 / RA 9287  (GAMBLING)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
20/01/2020,Monday,20:40:00,Talay,123.262695,9.293055,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
21/01/2020,Tuesday,8:30:00,Daro,123.301384,9.311655,"NON-INDEX CRIME",SPECIALLAWS,"ANTI-RED TAPE ACT OF 2007 - RA 9485","Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Office "
20/01/2020,Monday,14:20:00,Looc,123.311729,9.31629,"NON-INDEX CRIME",SPECIALLAWS,"RA 10591 / 8294 (FIREARMS & EXPLOSIVES)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
